account_id,bank,home_city,primary_device,secondary_device
ACC00000123,BANK3,CITY3,DEV0000123,DEV9000123
ACC00000124,BANK4,CITY4,DEV0000124,DEV9000124
ACC00000125,BANK5,CITY5,DEV0000125,DEV9000125
ACC00000126,BANK6,CITY6,DEV0000126,DEV9000126
ACC00000127,BANK7,CITY7,DEV0000127,DEV9000127
ACC00000128,BANK0,CITY8,DEV0000128,DEV9000128
ACC00000129,BANK1,CITY9,DEV0000129,DEV9000129
ACC00000130,BANK2,CITY0,DEV0000130,DEV9000130
ACC00000131,BANK3,CITY1,DEV0000131,DEV9000131
ACC00000132,BANK4,CITY2,DEV0000132,DEV9000132
ACC00000133,BANK5,CITY3,DEV0000133,DEV9000133
ACC00000134,BANK6,CITY4,DEV0000134,DEV9000134
ACC00000135,BANK7,CITY5,DEV0000135,DEV9000135
ACC00000136,BANK0,CITY6,DEV0000136,DEV9000136
ACC00000137,BANK1,CITY7,DEV0000137,DEV9000137
ACC00000138,BANK2,CITY8,DEV0000138,DEV9000138
ACC00000139,BANK3,CITY9,DEV0000139,DEV9000139
ACC00000140,BANK4,CITY0,DEV0000140,DEV9000140
ACC00000141,BANK5,CITY1,DEV0000141,DEV9000141
ACC00000142,BANK6,CITY2,DEV0000142,DEV9000142
ACC00000143,BANK7,CITY3,DEV0000143,DEV9000143
ACC00000144,BANK0,CITY4,DEV0000144,DEV9000144
ACC00000145,BANK1,CITY5,DEV0000145,DEV9000145
ACC00000146,BANK2,CITY6,DEV0000146,DEV9000146
ACC00000147,BANK3,CITY7,DEV0000147,DEV9000147
ACC00000148,BANK4,CITY8,DEV0000148,DEV9000148
ACC00000149,BANK5,CITY9,DEV0000149,DEV9000149
ACC00000150,BANK6,CITY0,DEV0000150,DEV9000150
ACC00000151,BANK7,CITY1,DEV0000151,DEV9000151
ACC00000152,BANK0,CITY2,DEV0000152,DEV9000152
ACC00000153,BANK1,CITY3,DEV0000153,DEV9000153
ACC00000154,BANK2,CITY4,DEV0000154,DEV9000154
ACC00000155,BANK3,CITY5,DEV0000155,DEV9000155
ACC00000156,BANK4,CITY6,DEV0000156,DEV9000156
ACC00000157,BANK5,CITY7,DEV0000157,DEV9000157
ACC00000158,BANK6,CITY8,DEV0000158,DEV9000158
ACC00000159,BANK7,CITY9,DEV0000159,DEV9000159
ACC00000160,BANK0,CITY0,DEV0000160,DEV9000160
ACC00000161,BANK1,CITY1,DEV0000161,DEV9000161
ACC00000162,BANK2,CITY2,DEV0000162,DEV9000162
ACC00000163,BANK3,CITY3,DEV0000163,DEV9000163
ACC00000164,BANK4,CITY4,DEV0000164,DEV9000164
ACC00000165,BANK5,CITY5,DEV0000165,DEV9000165
ACC00000166,BANK6,CITY6,DEV0000166,DEV9000166
ACC00000167,BANK7,CITY7,DEV0000167,DEV9000167
ACC00000168,BANK0,CITY8,DEV0000168,DEV9000168
ACC00000169,BANK1,CITY9,DEV0000169,DEV9000169
ACC00000170,BANK2,CITY0,DEV0000170,DEV9000170
ACC00000171,BANK3,CITY1,DEV0000171,DEV9000171
ACC00000172,BANK4,CITY2,DEV0000172,DEV9000172
ACC00000173,BANK5,CITY3,DEV0000173,DEV9000173
ACC00000174,BANK6,CITY4,DEV0000174,DEV9000174
ACC00000175,BANK7,CITY5,DEV0000175,DEV9000175
ACC00000176,BANK0,CITY6,DEV0000176,DEV9000176
ACC00000177,BANK1,CITY7,DEV0000177,DEV9000177
ACC00000178,BANK2,CITY8,DEV0000178,DEV9000178
ACC00000179,BANK3,CITY9,DEV0000179,DEV9000179
ACC00000180,BANK4,CITY0,DEV0000180,DEV9000180
ACC00000181,BANK5,CITY1,DEV0000181,DEV9000181
ACC00000182,BANK6,CITY2,DEV0000182,DEV9000182
ACC00000183,BANK7,CITY3,DEV0000183,DEV9000183
ACC00000184,BANK0,CITY4,DEV0000184,DEV9000184
ACC00000185,BANK1,CITY5,DEV0000185,DEV9000185
ACC00000186,BANK2,CITY6,DEV0000186,DEV9000186
ACC00000187,BANK3,CITY7,DEV0000187,DEV9000187
ACC00000188,BANK4,CITY8,DEV0000188,DEV9000188
ACC00000189,BANK5,CITY9,DEV0000189,DEV9000189
ACC00000190,BANK6,CITY0,DEV0000190,DEV9000190
ACC00000191,BANK7,CITY1,DEV0000191,DEV9000191
ACC00000192,BANK0,CITY2,DEV0000192,DEV9000192
ACC00000193,BANK1,CITY3,DEV0000193,DEV9000193
ACC00000194,BANK2,CITY4,DEV0000194,DEV9000194
ACC00000195,BANK3,CITY5,DEV0000195,DEV9000195
ACC00000196,BANK4,CITY6,DEV0000196,DEV9000196
ACC00000197,BANK5,CITY7,DEV0000197,DEV9000197
ACC00000198,BANK6,CITY8,DEV0000198,DEV9000198
ACC00000199,BANK7,CITY9,DEV0000199,DEV9000199
ACC00000200,BANK0,CITY0,DEV0000200,DEV9000200
ACC00000201,BANK1,CITY1,DEV0000201,DEV9000201
ACC00000202,BANK2,CITY2,DEV0000202,DEV9000202
ACC00000203,BANK3,CITY3,DEV0000203,DEV9000203
ACC00000204,BANK4,CITY4,DEV0000204,DEV9000204
ACC00000205,BANK5,CITY5,DEV0000205,DEV9000205
ACC00000206,BANK6,CITY6,DEV0000206,DEV9000206
ACC00000207,BANK7,CITY7,DEV0000207,DEV9000207
ACC00000208,BANK0,CITY8,DEV0000208,DEV9000208
ACC00000209,BANK1,CITY9,DEV0000209,DEV9000209
ACC00000210,BANK2,CITY0,DEV0000210,DEV9000210
ACC00000211,BANK3,CITY1,DEV0000211,DEV9000211
ACC00000212,BANK4,CITY2,DEV0000212,DEV9000212
ACC00000213,BANK5,CITY3,DEV0000213,DEV9000213
ACC00000214,BANK6,CITY4,DEV0000214,DEV9000214
ACC00000215,BANK7,CITY5,DEV0000215,DEV9000215
ACC00000216,BANK0,CITY6,DEV0000216,DEV9000216
ACC00000217,BANK1,CITY7,DEV0000217,DEV9000217
ACC00000218,BANK2,CITY8,DEV0000218,DEV9000218
ACC00000219,BANK3,CITY9,DEV0000219,DEV9000219
ACC00000220,BANK4,CITY0,DEV0000220,DEV9000220
ACC00000221,BANK5,CITY1,DEV0000221,DEV9000221
ACC00000222,BANK6,CITY2,DEV0000222,DEV9000222
ACC00000223,BANK7,CITY3,DEV0000223,DEV9000223
ACC00000224,BANK0,CITY4,DEV0000224,DEV9000224
ACC00000225,BANK1,CITY5,DEV0000225,DEV9000225
ACC00000226,BANK2,CITY6,DEV0000226,DEV9000226
ACC00000227,BANK3,CITY7,DEV0000227,DEV9000227
ACC00000228,BANK4,CITY8,DEV0000228,DEV9000228
ACC00000229,BANK5,CITY9,DEV0000229,DEV9000229
ACC00000230,BANK6,CITY0,DEV0000230,DEV9000230
ACC00000231,BANK7,CITY1,DEV0000231,DEV9000231
ACC00000232,BANK0,CITY2,DEV0000232,DEV9000232
ACC00000233,BANK1,CITY3,DEV0000233,DEV9000233
ACC00000234,BANK2,CITY4,DEV0000234,DEV9000234
ACC00000235,BANK3,CITY5,DEV0000235,DEV9000235
ACC00000236,BANK4,CITY6,DEV0000236,DEV9000236
ACC00000237,BANK5,CITY7,DEV0000237,DEV9000237
ACC00000238,BANK6,CITY8,DEV0000238,DEV9000238
ACC00000239,BANK7,CITY9,DEV0000239,DEV9000239
ACC00000240,BANK0,CITY0,DEV0000240,DEV9000240
ACC00000241,BANK1,CITY1,DEV0000241,DEV9000241
ACC00000242,BANK2,CITY2,DEV0000242,DEV9000242
ACC00000243,BANK3,CITY3,DEV0000243,DEV9000243
ACC00000244,BANK4,CITY4,DEV0000244,DEV9000244
ACC00000245,BANK5,CITY5,DEV0000245,DEV9000245
ACC00000246,BANK6,CITY6,DEV0000246,DEV9000246
ACC00000247,BANK7,CITY7,DEV0000247,DEV9000247
ACC00000248,BANK0,CITY8,DEV0000248,DEV9000248
ACC00000249,BANK1,CITY9,DEV0000249,DEV9000249
ACC00000250,BANK2,CITY0,DEV0000250,DEV9000250
ACC00000251,BANK3,CITY1,DEV0000251,DEV9000251
ACC00000252,BANK4,CITY2,DEV0000252,DEV9000252
ACC00000253,BANK5,CITY3,DEV0000253,DEV9000253
ACC00000254,BANK6,CITY4,DEV0000254,DEV9000254
ACC00000255,BANK7,CITY5,DEV0000255,DEV9000255
ACC00000256,BANK0,CITY6,DEV0000256,DEV9000256
ACC00000257,BANK1,CITY7,DEV0000257,DEV9000257
ACC00000258,BANK2,CITY8,DEV0000258,DEV9000258
ACC00000259,BANK3,CITY9,DEV0000259,DEV9000259
ACC00000260,BANK4,CITY0,DEV0000260,DEV9000260
ACC00000261,BANK5,CITY1,DEV0000261,DEV9000261
ACC00000262,BANK6,CITY2,DEV0000262,DEV9000262
ACC00000263,BANK7,CITY3,DEV0000263,DEV9000263
ACC00000264,BANK0,CITY4,DEV0000264,DEV9000264
ACC00000265,BANK1,CITY5,DEV0000265,DEV9000265
ACC00000266,BANK2,CITY6,DEV0000266,DEV9000266
ACC00000267,BANK3,CITY7,DEV0000267,DEV9000267
ACC00000268,BANK4,CITY8,DEV0000268,DEV9000268
ACC00000269,BANK5,CITY9,DEV0000269,DEV9000269
ACC00000270,BANK6,CITY0,DEV0000270,DEV9000270
ACC00000271,BANK7,CITY1,DEV0000271,DEV9000271
ACC00000272,BANK0,CITY2,DEV0000272,DEV9000272
ACC00000273,BANK1,CITY3,DEV0000273,DEV9000273
ACC00000274,BANK2,CITY4,DEV0000274,DEV9000274
ACC00000275,BANK3,CITY5,DEV0000275,DEV9000275
ACC00000276,BANK4,CITY6,DEV0000276,DEV9000276
ACC00000277,BANK5,CITY7,DEV0000277,DEV9000277
ACC00000278,BANK6,CITY8,DEV0000278,DEV9000278
ACC00000279,BANK7,CITY9,DEV0000279,DEV9000279
ACC00000280,BANK0,CITY0,DEV0000280,DEV9000280
ACC00000281,BANK1,CITY1,DEV0000281,DEV9000281
ACC00000282,BANK2,CITY2,DEV0000282,DEV9000282
ACC00000283,BANK3,CITY3,DEV0000283,DEV9000283
ACC00000284,BANK4,CITY4,DEV0000284,DEV9000284
ACC00000285,BANK5,CITY5,DEV0000285,DEV9000285
ACC00000286,BANK6,CITY6,DEV0000286,DEV9000286
ACC00000287,BANK7,CITY7,DEV0000287,DEV9000287
ACC00000288,BANK0,CITY8,DEV0000288,DEV9000288
ACC00000289,BANK1,CITY9,DEV0000289,DEV9000289
ACC00000290,BANK2,CITY0,DEV0000290,DEV9000290
ACC00000291,BANK3,CITY1,DEV0000291,DEV9000291
ACC00000292,BANK4,CITY2,DEV0000292,DEV9000292
ACC00000293,BANK5,CITY3,DEV0000293,DEV9000293
ACC00000294,BANK6,CITY4,DEV0000294,DEV9000294
ACC00000295,BANK7,CITY5,DEV0000295,DEV9000295
ACC00000296,BANK0,CITY6,DEV0000296,DEV9000296
ACC00000297,BANK1,CITY7,DEV0000297,DEV9000297
ACC00000298,BANK2,CITY8,DEV0000298,DEV9000298
ACC00000299,BANK3,CITY9,DEV0000299,DEV9000299
ACC00000300,BANK4,CITY0,DEV0000300,DEV9000300
ACC00000301,BANK5,CITY1,DEV0000301,DEV9000301
ACC00000302,BANK6,CITY2,DEV0000302,DEV9000302
ACC00000303,BANK7,CITY3,DEV0000303,DEV9000303
ACC00000304,BANK0,CITY4,DEV0000304,DEV9000304
ACC00000305,BANK1,CITY5,DEV0000305,DEV9000305
ACC00000306,BANK2,CITY6,DEV0000306,DEV9000306
ACC00000307,BANK3,CITY7,DEV0000307,DEV9000307
ACC00000308,BANK4,CITY8,DEV0000308,DEV9000308
ACC00000309,BANK5,CITY9,DEV0000309,DEV9000309
ACC00000310,BANK6,CITY0,DEV0000310,DEV9000310
ACC00000311,BANK7,CITY1,DEV0000311,DEV9000311
ACC00000312,BANK0,CITY2,DEV0000312,DEV9000312
ACC00000313,BANK1,CITY3,DEV0000313,DEV9000313
ACC00000314,BANK2,CITY4,DEV0000314,DEV9000314
ACC00000315,BANK3,CITY5,DEV0000315,DEV9000315
ACC00000316,BANK4,CITY6,DEV0000316,DEV9000316
ACC00000317,BANK5,CITY7,DEV0000317,DEV9000317
ACC00000318,BANK6,CITY8,DEV0000318,DEV9000318
ACC00000319,BANK7,CITY9,DEV0000319,DEV9000319
ACC00000320,BANK0,CITY0,DEV0000320,DEV9000320
ACC00000321,BANK1,CITY1,DEV0000321,DEV9000321
ACC00000322,BANK2,CITY2,DEV0000322,DEV9000322
ACC00000323,BANK3,CITY3,DEV0000323,DEV9000323
ACC00000324,BANK4,CITY4,DEV0000324,DEV9000324
ACC00000325,BANK5,CITY5,DEV0000325,DEV9000325
ACC00000326,BANK6,CITY6,DEV0000326,DEV9000326
ACC00000327,BANK7,CITY7,DEV0000327,DEV9000327
ACC00000328,BANK0,CITY8,DEV0000328,DEV9000328
ACC00000329,BANK1,CITY9,DEV0000329,DEV9000329
ACC00000330,BANK2,CITY0,DEV0000330,DEV9000330
ACC00000331,BANK3,CITY1,DEV0000331,DEV9000331
ACC00000332,BANK4,CITY2,DEV0000332,DEV9000332
ACC00000333,BANK5,CITY3,DEV0000333,DEV9000333
ACC00000334,BANK6,CITY4,DEV0000334,DEV9000334
ACC00000335,BANK7,CITY5,DEV0000335,DEV9000335
ACC00000336,BANK0,CITY6,DEV0000336,DEV9000336
ACC00000337,BANK1,CITY7,DEV0000337,DEV9000337
ACC00000338,BANK2,CITY8,DEV0000338,DEV9000338
ACC00000339,BANK3,CITY9,DEV0000339,DEV9000339
ACC00000340,BANK4,CITY0,DEV0000340,DEV9000340
ACC00000341,BANK5,CITY1,DEV0000341,DEV9000341
ACC00000342,BANK6,CITY2,DEV0000342,DEV9000342
ACC00000343,BANK7,CITY3,DEV0000343,DEV9000343
ACC00000344,BANK0,CITY4,DEV0000344,DEV9000344
ACC00000345,BANK1,CITY5,DEV0000345,DEV9000345
ACC00000346,BANK2,CITY6,DEV0000346,DEV9000346
ACC00000347,BANK3,CITY7,DEV0000347,DEV9000347
ACC00000348,BANK4,CITY8,DEV0000348,DEV9000348
ACC00000349,BANK5,CITY9,DEV0000349,DEV9000349
ACC00000350,BANK6,CITY0,DEV0000350,DEV9000350
ACC00000351,BANK7,CITY1,DEV0000351,DEV9000351
ACC00000352,BANK0,CITY2,DEV0000352,DEV9000352
ACC00000353,BANK1,CITY3,DEV0000353,DEV9000353
ACC00000354,BANK2,CITY4,DEV0000354,DEV9000354
ACC00000355,BANK3,CITY5,DEV0000355,DEV9000355
ACC00000356,BANK4,CITY6,DEV0000356,DEV9000356
ACC00000357,BANK5,CITY7,DEV0000357,DEV9000357
ACC00000358,BANK6,CITY8,DEV0000358,DEV9000358
ACC00000359,BANK7,CITY9,DEV0000359,DEV9000359
ACC00000360,BANK0,CITY0,DEV0000360,DEV9000360
ACC00000361,BANK1,CITY1,DEV0000361,DEV9000361
ACC00000362,BANK2,CITY2,DEV0000362,DEV9000362
ACC00000363,BANK3,CITY3,DEV0000363,DEV9000363
ACC00000364,BANK4,CITY4,DEV0000364,DEV9000364
ACC00000365,BANK5,CITY5,DEV0000365,DEV9000365
ACC00000366,BANK6,CITY6,DEV0000366,DEV9000366
ACC00000367,BANK7,CITY7,DEV0000367,DEV9000367
ACC00000368,BANK0,CITY8,DEV0000368,DEV9000368
ACC00000369,BANK1,CITY9,DEV0000369,DEV9000369
ACC00000370,BANK2,CITY0,DEV0000370,DEV9000370
ACC00000371,BANK3,CITY1,DEV0000371,DEV9000371
ACC00000372,BANK4,CITY2,DEV0000372,DEV9000372
ACC00000373,BANK5,CITY3,DEV0000373,DEV9000373
ACC00000374,BANK6,CITY4,DEV0000374,DEV9000374
ACC00000375,BANK7,CITY5,DEV0000375,DEV9000375
ACC00000376,BANK0,CITY6,DEV0000376,DEV9000376
ACC00000377,BANK1,CITY7,DEV0000377,DEV9000377
ACC00000378,BANK2,CITY8,DEV0000378,DEV9000378
ACC00000379,BANK3,CITY9,DEV0000379,DEV9000379
ACC00000380,BANK4,CITY0,DEV0000380,DEV9000380
ACC00000381,BANK5,CITY1,DEV0000381,DEV9000381
ACC00000382,BANK6,CITY2,DEV0000382,DEV9000382
ACC00000383,BANK7,CITY3,DEV0000383,DEV9000383
ACC00000384,BANK0,CITY4,DEV0000384,DEV9000384
ACC00000385,BANK1,CITY5,DEV0000385,DEV9000385
ACC00000386,BANK2,CITY6,DEV0000386,DEV9000386
ACC00000387,BANK3,CITY7,DEV0000387,DEV9000387
ACC00000388,BANK4,CITY8,DEV0000388,DEV9000388
ACC00000389,BANK5,CITY9,DEV0000389,DEV9000389
ACC00000390,BANK6,CITY0,DEV0000390,DEV9000390
ACC00000391,BANK7,CITY1,DEV0000391,DEV9000391
ACC00000392,BANK0,CITY2,DEV0000392,DEV9000392
ACC00000393,BANK1,CITY3,DEV0000393,DEV9000393
ACC00000394,BANK2,CITY4,DEV0000394,DEV9000394
ACC00000395,BANK3,CITY5,DEV0000395,DEV9000395
ACC00000396,BANK4,CITY6,DEV0000396,DEV9000396
ACC00000397,BANK5,CITY7,DEV0000397,DEV9000397
ACC00000398,BANK6,CITY8,DEV0000398,DEV9000398
ACC00000399,BANK7,CITY9,DEV0000399,DEV9000399
ACC00000400,BANK0,CITY0,DEV0000400,DEV9000400
ACC00000401,BANK1,CITY1,DEV0000401,DEV9000401
ACC00000402,BANK2,CITY2,DEV0000402,DEV9000402
ACC00000403,BANK3,CITY3,DEV0000403,DEV9000403
ACC00000404,BANK4,CITY4,DEV0000404,DEV9000404
ACC00000405,BANK5,CITY5,DEV0000405,DEV9000405
ACC00000406,BANK6,CITY6,DEV0000406,DEV9000406
ACC00000407,BANK7,CITY7,DEV0000407,DEV9000407
ACC00000408,BANK0,CITY8,DEV0000408,DEV9000408
ACC00000409,BANK1,CITY9,DEV0000409,DEV9000409
ACC00000410,BANK2,CITY0,DEV0000410,DEV9000410
ACC00000411,BANK3,CITY1,DEV0000411,DEV9000411
ACC00000412,BANK4,CITY2,DEV0000412,DEV9000412
ACC00000413,BANK5,CITY3,DEV0000413,DEV9000413
ACC00000414,BANK6,CITY4,DEV0000414,DEV9000414
ACC00000415,BANK7,CITY5,DEV0000415,DEV9000415
ACC00000416,BANK0,CITY6,DEV0000416,DEV9000416
ACC00000417,BANK1,CITY7,DEV0000417,DEV9000417
ACC00000418,BANK2,CITY8,DEV0000418,DEV9000418
ACC00000419,BANK3,CITY9,DEV0000419,DEV9000419
ACC00000420,BANK4,CITY0,DEV0000420,DEV9000420
ACC00000421,BANK5,CITY1,DEV0000421,DEV9000421
ACC00000422,BANK6,CITY2,DEV0000422,DEV9000422
ACC00000423,BANK7,CITY3,DEV0000423,DEV9000423
ACC00000424,BANK0,CITY4,DEV0000424,DEV9000424
ACC00000425,BANK1,CITY5,DEV0000425,DEV9000425
ACC00000426,BANK2,CITY6,DEV0000426,DEV9000426
ACC00000427,BANK3,CITY7,DEV0000427,DEV9000427
ACC00000428,BANK4,CITY8,DEV0000428,DEV9000428
ACC00000429,BANK5,CITY9,DEV0000429,DEV9000429
ACC00000430,BANK6,CITY0,DEV0000430,DEV9000430
ACC00000431,BANK7,CITY1,DEV0000431,DEV9000431
ACC00000432,BANK0,CITY2,DEV0000432,DEV9000432
ACC00000433,BANK1,CITY3,DEV0000433,DEV9000433
ACC00000434,BANK2,CITY4,DEV0000434,DEV9000434
ACC00000435,BANK3,CITY5,DEV0000435,DEV9000435
ACC00000436,BANK4,CITY6,DEV0000436,DEV9000436
ACC00000437,BANK5,CITY7,DEV0000437,DEV9000437
ACC00000438,BANK6,CITY8,DEV0000438,DEV9000438
ACC00000439,BANK7,CITY9,DEV0000439,DEV9000439
ACC00000440,BANK0,CITY0,DEV0000440,DEV9000440
ACC00000441,BANK1,CITY1,DEV0000441,DEV9000441
ACC00000442,BANK2,CITY2,DEV0000442,DEV9000442
ACC00000443,BANK3,CITY3,DEV0000443,DEV9000443
ACC00000444,BANK4,CITY4,DEV0000444,DEV9000444
ACC00000445,BANK5,CITY5,DEV0000445,DEV9000445
ACC00000446,BANK6,CITY6,DEV0000446,DEV9000446
ACC00000447,BANK7,CITY7,DEV0000447,DEV9000447
ACC00000448,BANK0,CITY8,DEV0000448,DEV9000448
ACC00000449,BANK1,CITY9,DEV0000449,DEV9000449
